SampleID	UMAP1	UMAP2	class	Segment	Scan	Patient
DSP-1002510007866-C-F02.dcc	-10.5581468658627	0.594660686996748	normal	Geometric Segment	Scan_06	Pt_06
DSP-1002510007866-C-F03.dcc	-10.6051706390561	0.545103716400434	normal	Geometric Segment	Scan_06	Pt_06
DSP-1002510007866-C-F04.dcc	-10.5544094162167	0.597116636780073	normal	Geometric Segment	Scan_06	Pt_06
DSP-1002510007866-C-F05.dcc	-10.4989322738827	0.650700735595991	normal	Geometric Segment	Scan_06	Pt_06
DSP-1002510007866-C-F06.dcc	-10.6047376709164	0.545966076401045	normal	Geometric Segment	Scan_06	Pt_06
DSP-1002510007866-C-F07.dcc	-10.5579408722104	0.596376108673383	normal	Geometric Segment	Scan_06	Pt_06
DSP-1002510007866-C-G10.dcc	11.6186891479312	2.23671548321562	DKD	PanCK+	Scan_07	Pt_07
DSP-1002510007866-C-G11.dcc	9.5462652129947	0.668415951278974	DKD	PanCK-	Scan_07	Pt_07
DSP-1002510007866-C-G12.dcc	12.3115869445621	2.11016004040556	DKD	PanCK+	Scan_07	Pt_07
DSP-1002510007866-C-H01.dcc	9.47703036497224	0.773074078110029	DKD	PanCK-	Scan_07	Pt_07
DSP-1002510007866-C-H03.dcc	11.7220264358341	2.29920260861235	DKD	PanCK+	Scan_07	Pt_07
DSP-1002510007866-C-H04.dcc	9.5801483077823	0.828104185608198	DKD	PanCK-	Scan_07	Pt_07
DSP-1002510007866-C-H05.dcc	11.6966405792056	2.26381509259062	DKD	PanCK+	Scan_07	Pt_07
DSP-1002510007866-C-H06.dcc	9.57978686521638	0.737074064758588	DKD	PanCK-	Scan_07	Pt_07
DSP-1002510007866-C-H07.dcc	11.6305385513126	2.24984137966948	DKD	PanCK+	Scan_07	Pt_07
DSP-1002510007866-C-H08.dcc	9.63758048246492	0.730020689514448	DKD	PanCK-	Scan_07	Pt_07
DSP-1002510007866-C-H09.dcc	11.5513311309635	2.18862502529936	DKD	PanCK+	Scan_07	Pt_07
DSP-1002510007866-C-H10.dcc	9.51773318479646	0.841781305816938	DKD	PanCK-	Scan_07	Pt_07
DSP-1002510007866-C-H11.dcc	-6.83263674547088	7.30976598217802	DKD	Geometric Segment	Scan_07	Pt_07
DSP-1002510007866-C-H12.dcc	-6.82764712144744	7.54728810742216	DKD	Geometric Segment	Scan_07	Pt_07
